longitude,latitude,time,
-90.12916476,38.85831557,2024-12-19 21:16:00,
-90.12920629,38.85833973,2024-12-19 21:17:00,
-90.13070315,38.85971273,2024-12-19 22:50:00,
-90.13090096,38.85969691,2024-12-19 23:01:00,
-90.1309301,38.85971966,2024-12-19 23:13:00,
-90.13097456,38.85972821,2024-12-19 23:17:00,
-90.13105318,38.85971581,2024-12-19 23:22:00,
-90.1310503,38.85970076,2024-12-19 23:24:00,
-90.13105775,38.8596998,2024-12-19 23:25:00,
-90.13104599,38.85969052,2024-12-19 23:27:00,
-90.13106503,38.85970074,2024-12-19 23:28:00,
-90.13109451,38.8597005,2024-12-19 23:30:00,
-90.13110122,38.85969515,2024-12-19 23:31:00,
-90.13110878,38.85967161,2024-12-19 23:33:00,
-90.13110648,38.85967055,2024-12-19 23:34:00,
-90.13111203,38.85965736,2024-12-19 23:36:00,
-90.13115321,38.85965316,2024-12-19 23:36:00,
-90.13114317,38.85964792,2024-12-19 23:39:00,
-90.1311451,38.85964307,2024-12-19 23:40:00,
-90.13112364,38.85961505,2024-12-19 23:40:00,
-90.13113488,38.85963379,2024-12-19 23:41:00,
-90.13112383,38.85961866,2024-12-19 23:42:00,
-90.13113014,38.85962918,2024-12-19 23:45:00,
-90.13113686,38.85962994,2024-12-19 23:47:00,
-90.13113641,38.85963564,2024-12-19 23:47:00,
-90.13113443,38.85963099,2024-12-19 23:49:00,
-90.13113747,38.85963473,2024-12-19 23:50:00,
-90.13113237,38.85963003,2024-12-19 23:53:00,
-90.1311309,38.8596263,2024-12-19 23:56:00,
-90.1311291,38.85963034,2024-12-19 23:57:00,
-90.13113841,38.85963155,2024-12-20 00:01:00,
-90.13113788,38.8596354,2024-12-20 00:02:00,
-90.13113535,38.85962643,2024-12-20 00:03:00,
-90.13114876,38.85963207,2024-12-20 00:04:00,
-90.13114966,38.8596331,2024-12-20 00:05:00,
-90.13114268,38.85962382,2024-12-20 00:08:00,
-90.13114169,38.85962416,2024-12-20 00:09:00,
-90.13113101,38.85961733,2024-12-20 00:10:00,
-90.13111513,38.85959358,2024-12-20 00:13:00,
-90.13113664,38.85961827,2024-12-20 00:15:00,
-90.131126,38.8596032,2024-12-20 00:19:00,
-90.13114247,38.85962301,2024-12-20 00:25:00,
-90.13112788,38.85960441,2024-12-20 00:26:00,
-90.13115146,38.85963498,2024-12-20 00:27:00,
-90.13113426,38.85960539,2024-12-20 00:28:00,
-90.1311375,38.85961902,2024-12-20 02:03:00,
-90.13113369,38.85961582,2024-12-20 02:08:00,
-90.13112462,38.85960899,2024-12-20 02:09:00,
-90.13113752,38.85961362,2024-12-20 02:11:00,
-90.1311222,38.85959603,2024-12-20 02:12:00,
-90.13113841,38.85961225,2024-12-20 02:15:00,
-90.13113359,38.85962404,2024-12-20 02:19:00,
-90.13112922,38.85959956,2024-12-20 02:21:00,
-90.1310875,38.85955729,2024-12-20 02:22:00,
-90.1311355,38.85962061,2024-12-20 02:23:00,
-90.13111342,38.85961844,2024-12-20 02:24:00,
-90.1311379,38.85960965,2024-12-20 02:24:00,
-90.13113702,38.85960514,2024-12-20 02:25:00,
-90.13115454,38.85960964,2024-12-20 02:26:00,
-90.13069352,38.85974844,2024-12-20 02:50:00,
-90.13069365,38.85962077,2024-12-20 02:52:00,
-90.13074637,38.85955029,2024-12-20 02:55:00,
-90.13068108,38.8590391,2024-12-20 03:42:00,
-90.13066827,38.85902924,2024-12-20 03:44:00,
-90.13067232,38.85903594,2024-12-20 03:44:00,
-90.13066166,38.85902689,2024-12-20 03:48:00,
-90.13067398,38.85903654,2024-12-20 03:49:00,
-90.13063573,38.85901677,2024-12-20 03:52:00,
-90.13071679,38.85898336,2024-12-20 03:56:00,
-90.1306713,38.85870507,2024-12-20 04:05:00,
-90.13053463,38.85870103,2024-12-20 04:14:00,
-90.13006132,38.85869583,2024-12-20 04:20:00,
-90.1298712,38.858696,2024-12-20 04:21:00,
-90.12955614,38.85858287,2024-12-20 04:22:00,
-90.1294464,38.8586639,2024-12-20 06:11:00,
-90.12903713,38.85846222,2024-12-20 06:25:00,
-90.12908046,38.85843803,2024-12-20 06:27:00,
-90.12854452,38.85783176,2024-12-26 13:37:00,
-90.13078899,38.86062365,2024-12-26 14:49:00,
-90.13057976,38.85925783,2024-12-26 15:32:00,
-90.13054464,38.85907517,2024-12-26 15:33:00,
-90.13082073,38.85821073,2024-12-26 15:44:00,
-90.13079288,38.85811319,2024-12-26 15:46:00,
-90.13084903,38.85789562,2024-12-26 15:48:00,
-90.13093162,38.85772868,2024-12-26 15:50:00,
-90.13075953,38.8574188,2024-12-26 15:53:00,
-90.13027336,38.85728699,2024-12-26 15:55:00,
-90.12995704,38.85721103,2024-12-26 15:56:00,
-90.12992713,38.85730099,2024-12-26 15:57:00,
-90.12940528,38.85729633,2024-12-26 15:59:00,
-90.12921818,38.8573881,2024-12-26 16:01:00,
-90.12878368,38.85768671,2024-12-26 16:04:00,
-90.12873514,38.85769237,2024-12-26 16:05:00,
-90.12865019,38.85785986,2024-12-26 16:08:00,
-90.12677855,38.85698439,2024-12-26 23:22:00,
-90.1268792,38.85720347,2024-12-26 23:26:00,
-90.12919209,38.85837743,2024-12-27 05:26:00,
-90.12918399,38.85835211,2024-12-27 05:27:00,
-90.13071418,38.85995491,2024-12-27 07:00:00,
-90.13065352,38.85964127,2024-12-27 07:01:00,
-90.13049799,38.85943608,2024-12-27 07:03:00,
-90.13018344,38.8588375,2024-12-27 14:34:00,
-90.13097578,38.85982292,2024-12-27 15:06:00,
-90.13190163,38.85996373,2024-12-27 15:17:00,
-90.13230022,38.85982788,2024-12-27 15:21:00,
-90.13237813,38.85976009,2024-12-27 15:22:00,
-90.13257354,38.85964351,2024-12-27 15:24:00,
-90.13304821,38.85948359,2024-12-27 15:31:00,
-90.13317193,38.85950651,2024-12-27 15:32:00,
-90.13349862,38.85949538,2024-12-27 15:37:00,
-90.13359993,38.85939408,2024-12-27 15:38:00,
-90.13371755,38.8593058,2024-12-27 15:39:00,
-90.13384853,38.85911151,2024-12-27 15:42:00,
-90.13426105,38.85920512,2024-12-27 15:48:00,
-90.13440941,38.85928631,2024-12-27 15:50:00,
-90.13440048,38.85933034,2024-12-27 15:51:00,
-90.13433654,38.85944402,2024-12-27 15:53:00,
-90.13434677,38.85943753,2024-12-27 15:54:00,
-90.13438327,38.8594969,2024-12-27 15:56:00,
-90.13433175,38.85960485,2024-12-27 15:57:00,
-90.13437335,38.86000241,2024-12-27 16:04:00,
-90.1342206,38.86019596,2024-12-27 16:06:00,
-90.13417821,38.86077509,2024-12-27 16:30:00,
-90.13427684,38.86088771,2024-12-27 16:35:00,
-90.13421913,38.86127576,2024-12-27 16:40:00,
-90.13414451,38.86149679,2024-12-27 16:42:00,
-90.13521823,38.86174268,2024-12-27 17:11:00,
-90.13521939,38.86173298,2024-12-27 17:12:00,
-90.13396691,38.85980959,2024-12-27 17:25:00,
-90.13260174,38.85980199,2024-12-27 17:29:00,
-90.13179081,38.85986801,2024-12-27 17:33:00,
-90.13172607,38.85990207,2024-12-27 17:34:00,
-90.12887703,38.85790404,2024-12-27 17:54:00,
-90.12851671,38.85762562,2024-12-27 17:56:00,
-90.12810672,38.85749198,2024-12-27 17:57:00,
-90.12926598,38.85836868,2024-12-28 13:22:00,
-90.12903853,38.85836563,2024-12-28 13:23:00,
-90.12797053,38.85743593,2024-12-28 14:12:00,
-90.12881885,38.85815146,2024-12-28 23:15:00,
-90.12903484,38.85832739,2024-12-28 23:22:00,
-90.12911604,38.85822639,2024-12-28 23:33:00,
-90.12875856,38.85800552,2024-12-28 23:53:00,
-90.1290011,38.8580598,2024-12-28 23:54:00,
-90.12900265,38.85829986,2024-12-29 04:26:00,
-90.12893589,38.85813015,2024-12-29 05:01:00,
-90.12873678,38.85753103,2024-12-29 05:16:00,
-90.12883619,38.8575546,2024-12-29 05:19:00,
-90.12898144,38.85775284,2024-12-29 05:21:00,
-90.12899797,38.85777271,2024-12-29 05:23:00,
-90.12902562,38.85796857,2024-12-29 05:29:00,
-90.12893461,38.85802655,2024-12-29 05:31:00,
